Cluster_2Fitur,Rata2_Pendapatan,Rata2_Skor_Belanja,Jumlah_Pelanggan,Nama_Segmen,Usulan_Strategi_Pemasaran
0,55.3,49.5,81,Hemat & Berpenghasilan Rendah (Standar),Produk value-for-money & diskon musiman lewat email/SMS
1,86.5,82.1,39,"Premium (Pendapatan Tinggi, Boros)",Program loyalitas & preview produk baru
2,25.7,79.4,22,Boros Berpenghasilan Terbatas,Cicilan/paylater & program poin agar tetap loyal
3,88.2,17.1,35,Hemat Berpenghasilan Tinggi,Promo personal & layanan concierge untuk memancing belanja
4,26.3,20.9,23,Hemat & Berpenghasilan Rendah (Standar),Produk value-for-money & diskon musiman lewat email/SMS
